Item,Date,DateTime,Timestamp,Reference_Price,Bid_Depth,Ask_Depth,Percentage
BATUSDT,2024-12-24,2024-12-24 17:08:23.065000+03:30,1735047503065,0.2949,128361.8,120951.6,0.0
BCHIRT,2024-12-24,2024-12-24 17:08:23.625000+03:30,1735047503625,369999990.0,42.77568,31.45855,0.0
BCHUSDT,2024-12-24,2024-12-24 17:08:22.978000+03:30,1735047502978,466.03,55.4995,34.68789,0.0
BICOIRT,2024-12-24,2024-12-24 17:08:23.738000+03:30,1735047503738,243160.0,112276.28,88577.68,0.0
BICOUSDT,2024-12-24,2024-12-24 17:08:23.279000+03:30,1735047503279,0.305,110739.57,111247.09,0.0
BLURIRT,2024-12-24,2024-12-24 17:08:23.752000+03:30,1735047503752,216010.0,47927.97,78934.82,0.0
BLURUSDT,2024-12-24,2024-12-24 17:08:23.126000+03:30,1735047503126,0.2737,130815.23,127763.64,0.0
BNBIRT,2024-12-24,2024-12-24 17:08:23.645000+03:30,1735047503645,544450000.0,10.201,39.166999999999994,0.0
BNBUSDT,2024-12-24,2024-12-24 17:08:22.995000+03:30,1735047502995,688.0,45.101,42.52,0.0
BNXIRT,2024-12-24,2024-12-24 17:08:22.991000+03:30,1735047502991,345120.0,40764.4,46279.08,0.0
BNXUSDT,2024-12-24,2024-12-24 17:08:23.250000+03:30,1735047503250,0.4314,61450.590000000004,60175.44,0.0
BTCIRT,2024-12-24,2024-12-24 17:08:23.524000+03:30,1735047503524,74680000000.0,0.054166,0.197189,0.0
BTCUSDT,2024-12-24,2024-12-24 17:08:23.842000+03:30,1735047503842,94530.0,0.167274,0.446745,0.0
CAKEIRT,2024-12-24,2024-12-24 17:08:23.724000+03:30,1735047503724,2049720.0,1960.844,6374.714,0.0
CAKEUSDT,2024-12-24,2024-12-24 17:08:23.263000+03:30,1735047503263,2.59,6265.062,6385.253,0.0
CATIIRT,2024-12-24,2024-12-24 17:08:22.975000+03:30,1735047502975,306910.0,56390.92,24473.35,0.0
CATIUSDT,2024-12-24,2024-12-24 17:08:23.240000+03:30,1735047503240,0.3918,68335.02,56528.29,0.0
CELRIRT,2024-12-24,2024-12-24 17:08:23.787000+03:30,1735047503787,16490.0,850764.6,730044.8,0.0
CELRUSDT,2024-12-24,2024-12-24 17:08:23.155000+03:30,1735047503155,0.02077,1644430.5,1830409.3,0.0
CHZIRT,2024-12-24,2024-12-24 17:08:23.542000+03:30,1735047503542,73670.0,302606.0,171563.0,0.0
CHZUSDT,2024-12-24,2024-12-24 17:08:23.123000+03:30,1735047503123,0.0935,297637.0,275846.0,0.0
COMPIRT,2024-12-24,2024-12-24 17:08:23.652000+03:30,1735047503652,68534840.0,581.36,414.17,0.0
COMPUSDT,2024-12-24,2024-12-24 17:08:23.082000+03:30,1735047503082,85.17,366.37,407.49,0.0
CRVIRT,2024-12-24,2024-12-24 17:08:23.688000+03:30,1735047503688,766000.0,23704.816000000003,27150.522,0.0
CRVUSDT,2024-12-24,2024-12-24 17:08:23.104000+03:30,1735047503104,0.969,19183.137,27979.233,0.0
CVCIRT,2024-12-24,2024-12-24 17:08:23.629000+03:30,1735047503629,136530.0,92276.54000000001,145946.16,0.0
CVCUSDT,2024-12-24,2024-12-24 17:08:23.052000+03:30,1735047503052,0.1733,220194.08000000002,238142.56,0.0
CVXIRT,2024-12-24,2024-12-24 17:08:23.792000+03:30,1735047503792,3790120.0,1124.3249999999998,333.545,0.0
CVXUSDT,2024-12-24,2024-12-24 17:08:23.178000+03:30,1735047503178,4.833,4148.991,4257.492,0.0
DAIIRT,2024-12-24,2024-12-24 17:08:23.570000+03:30,1735047503570,793000.0,5913.81,1293.44,0.0
DAIUSDT,2024-12-24,2024-12-24 17:08:23.114000+03:30,1735047503114,1.001,27646.52,87208.23999999999,0.0
DAOIRT,2024-12-24,2024-12-24 17:08:23.616000+03:30,1735047503616,273100.0,11040.48,38435.16,0.0
DAOUSDT,2024-12-24,2024-12-24 17:08:23.038000+03:30,1735047503038,0.346,95335.45999999999,96382.13,0.0
DOGEIRT,2024-12-24,2024-12-24 17:08:23.536000+03:30,1735047503536,257871.0,22053.0,49056.0,0.0
DOGEUSDT,2024-12-24,2024-12-24 17:08:23.085000+03:30,1735047503085,0.3275,66286.0,165779.0,0.0
DOGSIRT,2024-12-24,2024-12-24 17:08:23.833000+03:30,1735047503833,451.0,141856159.0,210037009.0,0.0
DOGSUSDT,2024-12-24,2024-12-24 17:08:23.199000+03:30,1735047503199,0.0005719,20180803.0,40132261.0,0.0
DOTIRT,2024-12-24,2024-12-24 17:08:23.600000+03:30,1735047503600,5900000.0,3114.1,965.5000000000001,0.0
DOTUSDT,2024-12-24,2024-12-24 17:08:22.988000+03:30,1735047502988,7.413,1790.3,2100.6,0.0
DYDXIRT,2024-12-24,2024-12-24 17:08:23.592000+03:30,1735047503592,1231270.0,7125.363,2887.742,0.0
DYDXUSDT,2024-12-24,2024-12-24 17:08:23.023000+03:30,1735047503023,1.555,10711.119,10704.393,0.0
EDUIRT,2024-12-24,2024-12-24 17:08:23.759000+03:30,1735047503759,438000.0,27758.89,26007.010000000002,0.0
EDUUSDT,2024-12-24,2024-12-24 17:08:23.285000+03:30,1735047503285,0.5491,38697.9,38705.19,0.0
EGALAIRT,2024-12-24,2024-12-24 17:08:23.611000+03:30,1735047503611,29980.0,775738.0,613330.0,0.0
EGALAUSDT,2024-12-24,2024-12-24 17:08:23.032000+03:30,1735047503032,0.03818,936317.0,1044728.0,0.0
EGLDIRT,2024-12-24,2024-12-24 17:08:23.730000+03:30,1735047503730,29137890.0,934.42,921.35,0.0
EGLDUSDT,2024-12-24,2024-12-24 17:08:23.143000+03:30,1735047503143,36.89,977.79,851.64,0.0
EIGENIRT,2024-12-24,2024-12-24 17:08:23.717000+03:30,1735047503717,3043010.0,4560.2,5494.163,0.0
