Item,Date,DateTime,Timestamp,Reference_Price,Best_Ask_Price,Best_Bid_Price,Spread
100K_FLOKIIRT,2024-12-25,2024-12-25T16:00:31.951000,1735142431951,14053760,14270000.0,13881000.0,389000.0
100K_FLOKIUSDT,2024-12-25,2024-12-25T16:00:32.253000,1735142432253,17.8146,18.59,17.44,1.1499999999999986
1B_BABYDOGEIRT,2024-12-25,2024-12-25T16:00:31.969000,1735142431969,2870050,2907000.0,2851110.0,55890.0
1B_BABYDOGEUSDT,2024-12-25,2024-12-25T16:00:32.270000,1735142432270,3.635,3.798,3.53,0.26800000000000024
1INCHIRT,2024-12-25,2024-12-25T16:00:31.933000,1735142431933,321080,341470.0,283430.0,58040.0
1INCHUSDT,2024-12-25,2024-12-25T16:00:32.235000,1735142432235,0.4089,0.485,0.318,0.16699999999999998
1M_BTTIRT,2024-12-25,2024-12-25T16:00:31.833000,1735142431833,900890,950550.0,855550.0,95000.0
1M_BTTUSDT,2024-12-25,2024-12-25T16:00:32.299000,1735142432299,1.133,1.422,0.838,0.584
1M_NFTIRT,2024-12-25,2024-12-25T16:00:31.982000,1735142431982,419410,452000.0,350240.0,101760.0
1M_NFTUSDT,2024-12-25,2024-12-25T16:00:32.285000,1735142432285,0.5333,0.5908,0.0007,0.5901
1M_PEPEIRT,2024-12-25,2024-12-25T16:00:31.970000,1735142431970,14780000,15028000.0,14627000.0,401000.0
1M_PEPEUSDT,2024-12-25,2024-12-25T16:00:32.258000,1735142432258,18.6806,19.48,18.0,1.4800000000000004
AAVEIRT,2024-12-25,2024-12-25T16:00:31.747000,1735142431747,290899600,296707170.0,286500000.0,10207170.0
AAVEUSDT,2024-12-25,2024-12-25T16:00:32.035000,1735142432035,367.47,381.0,355.0,26.0
ADAIRT,2024-12-25,2024-12-25T16:00:31.761000,1735142431761,720040,732550.0,713180.0,19370.0
ADAUSDT,2024-12-25,2024-12-25T16:00:32.054000,1735142432054,0.9123,0.9387,0.9014,0.0373
AEVOIRT,2024-12-25,2024-12-25T16:00:31.874000,1735142431874,305580,340000.0,273000.0,67000.0
AEVOUSDT,2024-12-25,2024-12-25T16:00:32.332000,1735142432332,0.392,0.51,0.32,0.19
AGLDIRT,2024-12-25,2024-12-25T16:00:31.845000,1735142431845,1720000,1799990.0,1660300.0,139690.0
AGLDUSDT,2024-12-25,2024-12-25T16:00:32.303000,1735142432303,2.169,2.43,1.84,0.5900000000000001
ALGOIRT,2024-12-25,2024-12-25T16:00:31.730000,1735142431730,302230,319400.0,292680.0,26720.0
ALGOUSDT,2024-12-25,2024-12-25T16:00:32.043000,1735142432043,0.3816,0.4216,0.35,0.0716
ANKRIRT,2024-12-25,2024-12-25T16:00:31.964000,1735142431964,30740,32850.0,27010.0,5840.0
ANKRUSDT,2024-12-25,2024-12-25T16:00:32.247000,1735142432247,0.03842,0.0497,0.025,0.0247
APEIRT,2024-12-25,2024-12-25T16:00:31.659000,1735142431659,981360,1029990.0,925310.0,104680.0
APEUSDT,2024-12-25,2024-12-25T16:00:32.142000,1735142432142,1.25,1.399,1.06,0.33899999999999997
API3IRT,2024-12-25,2024-12-25T16:00:31.704000,1735142431704,1382190,1508680.0,1258860.0,249820.0
API3USDT,2024-12-25,2024-12-25T16:00:32.047000,1735142432047,1.745,2.2,1.355,0.8450000000000002
APTIRT,2024-12-25,2024-12-25T16:00:31.739000,1735142431739,7605310,7790850.0,7430000.0,360850.0
APTUSDT,2024-12-25,2024-12-25T16:00:32.068000,1735142432068,9.6117,10.0,8.9,1.0999999999999996
ARBIRT,2024-12-25,2024-12-25T16:00:31.915000,1735142431915,627030,651890.0,621000.0,30890.0
ARBUSDT,2024-12-25,2024-12-25T16:00:32.220000,1735142432220,0.798,0.84,0.7694,0.0706
ATOMIRT,2024-12-25,2024-12-25T16:00:31.770000,1735142431770,5463200,5680000.0,5226450.0,453550.0
ATOMUSDT,2024-12-25,2024-12-25T16:00:32.082000,1735142432082,6.984,7.27,6.3,0.9699999999999998
AVAXIRT,2024-12-25,2024-12-25T16:00:31.697000,1735142431697,31950920,33048000.0,30154120.0,2893880.0
AVAXUSDT,2024-12-25,2024-12-25T16:00:32.159000,1735142432159,40.62,42.368,38.06,4.308
AXSIRT,2024-12-25,2024-12-25T16:00:31.837000,1735142431837,5292350,5600000.0,5043670.0,556330.0
AXSUSDT,2024-12-25,2024-12-25T16:00:32.117000,1735142432117,6.75,7.69,5.74,1.9500000000000002
BALIRT,2024-12-25,2024-12-25T16:00:31.808000,1735142431808,2103570,2357120.0,1700000.0,657120.0
BALUSDT,2024-12-25,2024-12-25T16:00:32.124000,1735142432124,2.7,3.62,2.01,1.6100000000000003
BANANAIRT,2024-12-25,2024-12-25T16:00:31.936000,1735142431936,32240000,34830000.0,29980000.0,4850000.0
BANANAUSDT,2024-12-25,2024-12-25T16:00:32.220000,1735142432220,40.66,53.0,34.0,19.0
BANDIRT,2024-12-25,2024-12-25T16:00:31.896000,1735142431896,1222340,1399600.0,950000.0,449600.0
BANDUSDT,2024-12-25,2024-12-25T16:00:32.190000,1735142432190,1.541,2.19,1.05,1.14
BATIRT,2024-12-25,2024-12-25T16:00:31.784000,1735142431784,208280,219960.0,194000.0,25960.0
BATUSDT,2024-12-25,2024-12-25T16:00:32.094000,1735142432094,0.2633,0.3154,0.2,0.1154
BCHIRT,2024-12-25,2024-12-25T16:00:31.750000,1735142431750,364000550,375253150.0,344000000.0,31253150.0
BCHUSDT,2024-12-25,2024-12-25T16:00:32.022000,1735142432022,461.47,481.0,437.03,43.97000000000003
BICOIRT,2024-12-25,2024-12-25T16:00:31.872000,1735142431872,244780,272550.0,220010.0,52540.0
BICOUSDT,2024-12-25,2024-12-25T16:00:32.325000,1735142432325,0.3087,0.411,0.1681,0.24289999999999998
BLURIRT,2024-12-25,2024-12-25T16:00:31.869000,1735142431869,213210,223880.0,201200.0,22680.0
BLURUSDT,2024-12-25,2024-12-25T16:00:32.173000,1735142432173,0.2735,0.34,0.195,0.14500000000000002
BNBIRT,2024-12-25,2024-12-25T16:00:31.765000,1735142431765,553388610,561967790.0,545000000.0,16967790.0
BNBUSDT,2024-12-25,2024-12-25T16:00:32.045000,1735142432045,703.0068,714.3843,693.3098,21.074500000000057
BNXIRT,2024-12-25,2024-12-25T16:00:32.012000,1735142432012,337050,359980.0,310340.0,49640.0
BNXUSDT,2024-12-25,2024-12-25T16:00:32.285000,1735142432285,0.4254,0.58,0.31,0.26999999999999996
BTCIRT,2024-12-25,2024-12-25T16:00:31.658000,1735142431658,76870000000,77099999930.0,76410000000.0,689999930.0
BTCUSDT,2024-12-25,2024-12-25T16:00:31.999000,1735142431999,97747.98,98170.0,96980.0,1190.0
CAKEIRT,2024-12-25,2024-12-25T16:00:31.853000,1735142431853,2020000,2108260.0,1950010.0,158250.0
CAKEUSDT,2024-12-25,2024-12-25T16:00:32.297000,1735142432297,2.56,2.69,2.4,0.29000000000000004
CATIIRT,2024-12-25,2024-12-25T16:00:32.000000,1735142432000,310580,328310.0,291990.0,36320.0
CATIUSDT,2024-12-25,2024-12-25T16:00:32.268000,1735142432268,0.3935,0.445,0.3315,0.11349999999999999
CELRIRT,2024-12-25,2024-12-25T16:00:31.900000,1735142431900,17240,18140.0,15800.0,2340.0
CELRUSDT,2024-12-25,2024-12-25T16:00:32.202000,1735142432202,0.02181,0.0261,0.01855,0.007550000000000001
CHZIRT,2024-12-25,2024-12-25T16:00:31.685000,1735142431685,72670,76490.0,69000.0,7490.0
CHZUSDT,2024-12-25,2024-12-25T16:00:32.157000,1735142432157,0.09201,0.1016,0.0823,0.019299999999999998
COMPIRT,2024-12-25,2024-12-25T16:00:31.794000,1735142431794,66712760,72989100.0,60111110.0,12877990.0
COMPUSDT,2024-12-25,2024-12-25T16:00:32.107000,1735142432107,84.56,111.82,68.5,43.31999999999999
CRVIRT,2024-12-25,2024-12-25T16:00:31.819000,1735142431819,807000,838570.0,792000.0,46570.0
